Unnamed: 0,TMDB_ID,Title,Rating,Keywords,Poster_Link,Plot_Story,Genre1,Genre2
17707,932092,nobody loves you and you don't deserve to exist,7.0,"literature, tragedy, working class, gothic, manchester, philosophical",https://image.tmdb.org/t/p/original/trRgtPc1xppZVIYErUDjM3gVMEF.jpg,"A maverick British art house movie exploring solitude, sanity and suffering under The State. As a contagion befalls the UK a grieving teacher attempts to recover the tragic-comic fragments of his shattered self in Manchester.",18,9648.0
17708,1178776,reminiscing,10.0,"romance, break-up, memories, lesbian, hfc",https://image.tmdb.org/t/p/original/eJSqZSGtlZzXBDy1Uz3evEpJ5XF.jpg,Two girlfriends have relationship problems.,18,10749.0
17710,954983,testament,8.5,testament,https://image.tmdb.org/t/p/original/jqcat8UDpFnjv1SUnwMyEYoAHBO.jpg,A Conversation between the Sin and the Sinful,14,18.0
17716,954220,moving on,10.0,"married couple, dilemma, pill, relationship, family, montage, pillbox, moral dilemma, short film, student film",https://image.tmdb.org/t/p/original/kqHYht1uGfqrkqttgcG8k4J8P7P.jpg,A grieving widower is offered a pill that can help ease his grief by erasing certain bad memories.,18,10751.0
17717,981289,puppet family: the no button!,10.0,"puppet, button",https://image.tmdb.org/t/p/original/cM0T3H3lLFumu5Q2seJGqNSsYk0.jpg,Frederick gets a present from his Grandma!,27,35.0
17718,1078674,bad romance,10.0,"friendship, dark comedy, romantic comedy, love, self love, neo-noir",https://image.tmdb.org/t/p/original/s9HmBtxQt4cWQEXoqciKp0plSM2.jpg,"Rob is the loneliest of loners. He is so desperate to find love that he constructs an absurd (and quite cinematic) plot to meet and impress women: he is tracking a man by the name of Jack S. who killed his wife to seek revenge, which – to him – is obviously an insanely loyal and courageous thing to do. Hannah, a seductive bartender who used to be married to a man named Jack S., agrees to help Rob track him down – a perfect excuse to get closer to (the now single) Hannah and to do everything he can to become exactly who she wants in her ideal guy. But little does Rob know that some of the people he meets along the way have intentions that turn Rob’s reality upside down – or is it right-side up?",35,10749.0
17720,1019312,spaceman,9.0,"space, water shortage",https://image.tmdb.org/t/p/original/suVuiRvtbTtmAROHfn0ZJGchDJJ.jpg,"In a distant future where there is no water on Earth, the sole remaining human wanders through space with an AI searching for water while something disastrous happens.",878,18.0
17723,1103186,the woman with the cough,10.0,"psychological thriller, suspense",https://image.tmdb.org/t/p/original/5nwrioiVmO251AKd2ptssKiBSAS.jpg,"Following the disappearance of her husband on Halloween night, a woman relentlessly searches for him while developing a mysterious illness that ultimately endangers her own life.",9648,53.0
17727,1087739,five til midnight,10.0,"unsettling, acid trip, rewatch",https://image.tmdb.org/t/p/original/11v5md8GtTUR6o1bmnqXBci5lOX.jpg,"After being rejected at a party on New Years Eve, Henri is given unwanted advice by a drunk at a bus stop as he soon realizes something strange going on.",878,35.0
17728,1072031,ocean city monster building,7.0,dogme 95,https://image.tmdb.org/t/p/original/k0CGC28VDwQhKYPd4AlMymlZn7l.jpg,"In 1984, the former mayor of a small upstate New York town was found dead in his car with a young girl. In the aftermath, his wife and his adopted daughter have to make sense of this situation, while a detective from out of town tries to solve the case.",35,18.0
